timestamp_ms,lastBlitMs,rectCount,dirtyArea,spike
1778358122054,0.8171,0,0,0
1778358122100,0.362,0,0,0
1778358122146,0.7662,0,0,0
1778358122192,0.4573,0,0,0
1778358122239,0.3236,0,0,0
1778358122284,0.434,0,0,0
1778358122331,0.448,0,0,0
1778358122379,0.3385,0,0,0
1778358122426,0.5292,0,0,0
1778358122473,0.538,0,0,0
1778358122519,0.4571,0,0,0
1778358122565,0.6917,0,0,0
1778358122612,0.3826,0,0,0
1778358122658,0.5476,0,0,0
1778358122705,0.3574,0,0,0
1778358122751,1.0102,0,0,0
1778358122797,0.491,0,0,0
1778358122843,0.835,0,0,0
1778358122889,0.443,0,0,0
1778358122936,0.6372,0,0,0
1778358122982,0.584,0,0,0
1778358123028,0.5489,0,0,0
1778358123076,0.6428,0,0,0
1778358123123,0.7616,0,0,0
1778358123170,0.5562,0,0,0
1778358123216,0.4594,0,0,0
1778358123263,0.4026,0,0,0
1778358123311,0.5286,0,0,0
1778358123358,0.4542,0,0,0
1778358123405,0.5295,0,0,0
1778358123451,0.6529,0,0,0
1778358123498,0.3926,0,0,0
1778358123544,0.9788,0,0,0
1778358123591,0.5951,0,0,0
1778358123638,0.406,0,0,0
1778358123685,0.516,0,0,0
1778358123731,0.4394,0,0,0
1778358123777,0.5554,0,0,0
1778358123823,0.6785,0,0,0
1778358123869,0.4011,0,0,0
1778358123916,0.4637,0,0,0
1778358123963,0.416,0,0,0
1778358124008,0.3385,0,0,0
1778358124054,0.6521,0,0,0
1778358124101,0.7496,0,0,0
1778358124147,0.3749,0,0,0
1778358124193,0.3837,0,0,0
1778358124241,0.3869,0,0,0
1778358124287,0.8665,0,0,0
1778358124334,0.3562,0,0,0
1778358124381,0.3016,0,0,0
1778358124427,0.3455,0,0,0
1778358124474,0.4554,0,0,0
1778358124520,0.3093,0,0,0
1778358124566,0.4807,0,0,0
1778358124612,0.317,0,0,0
1778358124658,0.331,0,0,0
1778358124706,0.4706,0,0,0
1778358124754,0.3326,0,0,0
1778358124800,0.3734,0,0,0
1778358124847,0.3558,0,0,0
1778358124894,0.3046,0,0,0
